Jenis kelamin, Umur, Status pernikahan, Anggota keluarga, tanggungan pendidikan, gaji, BST
P,52,menikah,4,1,250000,1
L,58,tidak menikah,0,0,0,1
L,51,menikah,4,1,20000000,0
P,76,tidak menikah,1,0,3000000,1
L,45,menikah,4,2,40000000,0
L,68,menikah,2,0,4000000,0
L,63,menikah,5,3,3000000,0
L,60,menikah,2,1,3500000,0
L,57,menikah,3,1,2500000,0
L,22,tidak menikah,0,0,3400000,0
L,48,menikah,5,3,1800000,1
P,60,tidak menikah,0,0,1000000,1
L,72,menikah,2,0,2500000,1
P,76,tidak menikah,1,0,1800000,1
L,76,menikah,1,0,4000000,1
L,80,tidak menikah,2,0,3000000,1
L,80,tidak menikah,2,0,4000000,1
P,58,tidak menikah,3,2,1800000,1
P,75,menikah,3,0,4000000,1
L,75,tidak menikah,1,0,2000000,1